anno,coeff_rivalu
1991,2.153269782
1992,2.04295046
1993,1.960605046
1994,1.88701159
1995,1.790333582
1996,1.723131456
1997,1.694327883
1998,1.66436923
1999,1.638158695
2000,1.5966459
2001,1.554669816
2002,1.518232243
2003,1.481202184
2004,1.452159004
2005,1.427884962
2006,1.399887222
2007,1.376486937
2008,1.333805172
2009,1.324533439
2010,1.303674644
2011,1.26940082
2012,1.232427983
2013,1.219018778
2014,1.216585607
2015,1.216585607
2016,1.216585607
2017,1.20334877
2018,1.190255958
2019,1.184334285
2020,1.184334285
2021,1.162251506
2022,1.07516328
2023,1.020079013
2024,1.0
